Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Captopril 25 mg Tablet,Apuzin Tablet 25 mg,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09AA01000T1002XX,Yes,APPL,B,i) Hypertension ii) Congestive heart failure iii) Post-myocardial infarction iv) Diabetic kidney disease,10 TAB/KK (EMERGENCY TROLLEY ITEM),i) Initial: 25-75mg in 2-3 divided doses Maintenance: 100-150mg in 2-3 divided doses ii) Initial: 6.25-12.5mg 2-3 times daily Maintenance: 75-150mg daily in divided doses iii) Initial: 6.25mg followed by 12.5mg and then 25mg Maintenance: 75-150mg daily in 2-3 divided doses iv) 75-100 mg in divided doses Dosing is individualised and according to product insert / protocol.,"Rash, pruritus, flushing, angioedema, loss of taste perception, stomatitis, gastrointestinal irritation and abdominal pain, leucopenia, persistent dry (non-productive) cough, hypotension, tachycardia, chest pain, palpitations, pruritus, hyperkalaemia. Proteinuria; Potentially Fatal: Neutropenia, usually occurs within 3 mth of starting therapy especially in patients with renal dysfunction or collagen diseases. Hyperkalaemia. Anaphylactic reactions.",Angioedema induced by other angiotensin converting enzyme (ACE) inhibitors during prior exposure. Anuric renal failure during prior exposure to ACE inhibitors. Hypersensitivity to this or any other ACE inhibitor. Pregnancy (second and third trimester pregnancy),"May increase serum K with Kalium K-sparing diuretics. Hypotensive effects enhanced by diuretics. Antihypertensive effect diminished by indomethacin, salicylates, NSAIDs","Anaphylaxis during lipid apheresis with dextran sulfate membranes and during hymenoptera desensitization, angioedema; discontinue if laryngeal stridor or angioedema of the face, tongue, or glottis is observed, aortic stenosis, breast feeding period, cough, impaired renal function",False
Carbamazepine 100 mg/5 ml (2% w/v) Syrup,Tegretol,Nervous System > Antiepileptics,N03AF01-000-L90-01-XXX,Yes,LP,A,Epilepsy,None,"ADULT: Initially, 100-200 mg once or twice daily gradually increased by increments of 100-200 mg every 2 week. Maintenance: 0.8-1.2 g daily in divided doses. Max: Adult: 1.6 g daily CHILD: 10-15 years: 0.6-1 g daily 5-10 years: 400-600 mg daily 1-5 years: 200-400 mg daily less than or equal to 1 year: 100-200 mg daily. Alternatively, 10-20 mg/kg body weight daily in divided doses.","Rash, Stevens-Johnson Syndrome, nausea, drowsiness, dizziness, ataxia, blood dyscrasias, confusion, agitation, visual disturbance, constipation or diarrhoea, anorexia, leukopenia, blood disorders, Syndrome of inappropriate ADH (SIADH), cardiac conduction abnormalities, gynaecomastia, allergic skin reactions, vomiting, accommodation disorders, diplopia, raised liver enzymes, thrombocytopenia and hyponatraemia, exfoliative dermatitis.","Hypersensitivity to carbamazepine products or tricyclic compounds, bone marrow suppression, porphyria, concomitant MAOIs.","Plasma level is increased by erythromycin, diltiazem, isoniazid, verapamil, fluoxetine, cimetidine and decreased by other antiepileptics and theophylline. May reduce alcohol tolerance and antagonise the effects of non-depolarising muscle relaxants. Cytochrome P450 3A4 inducers or inhibitors, oral contraceptive","Breast feeding, pregnancy, liver or kidney dysfunction, increased intraocular pressure, history of cardiac damage, elderly patients, glaucoma, may exacerbate certain types of idiopathic epilepsy. Avoid abrupt discontinuation. Neonatal withdrawal syndrome. Potential for an increase in risk of suicidal thoughts or behaviours",True
Verapamil HCl 40 mg Tablet,,Cardiovascular System > Calcium Channel Blockers,C08DA01-110-T10-01-XXX,Yes,APPL,B,i) Supraventricular tachyarrhythmias (SVT) prophylaxis ii) Angina iii) Hypertension,None,i) 120-480mg in 2-3 divided doses ii) 80mg – 120mg 3 times daily iii) Initial: 240 mg daily in 2-3 divided doses. Max: 480 mg daily,"Constipation, dizziness, nausea or vertigo, headache, hypotension, ankle oedema, flushing, fatigue, nervousness, paraesthesia, bradycardiac arrhythmias, dyspnoea, raised prolactin levels, single cases of galactorrhoea, myalgia, arthralgia, allergic skin reactions, purpura, photosensitisation dermatitis, gynaecomastia, reversible increase in transaminases and or alkaline phosphatase, gingival hyperplasia, tachycardia, palpitations, impotence, tinnitus, tremor, heart failure","Cardiovascular shock, complicated acute myocardial shock, severe conduction disorders (2nd and 3rd degree AV block, SA block), sick sinus syndrome, heart failure, atrial fibrillation/flutter and simultaneous preexcitation syndrome, myasthenia gravis, pregnancy, not recommended in lactation.",Increased risk of myocardial depression with beta-blockers or inhalation anaesthetic. May increase plasma digoxin concentration and plasma cyclosporin concentration,"- First degree AV block, bradycardia, hypotension. - May impair ability to drive or operate machinery. - Pregnancy, lactation. - Severe hepatic impairment. - Slows down markedly the elimination of alcohol and prolongs the duration of alcohol",False
Aminophylline 25mg/ml Injection,-,Respiratory System > Drugs for Obstructive Airway Diseases,R03DA05-000-P30-01-XXX,Yes,APPL,B,"Reversible airways obstruction, acute severe brochospasm",None,Adult: Loading dose: 6 mg/kg (ideal body weight) or 250-500 mg (25 mg/ml) by slow inj or infusion over 20-30 min. Maintenance infusion dose: 0.5 mg/kg/hr. Max rate: 25 mg/min. Children: 6 months and over (if not previously on theophylline): Loading dose: 6mg/kg. Maintenance dose: 6 mth-9 yr: 1 mg/kg/hr and 10-16 yr: 0.8 mg/kg/hr. Dosing is individualised and according to product insert/protocol.,"Tachycardia, palpitations, nausea and other gastrointestinal disturbances, headache, CNS stimulation, insomnia, arrythmias, also allergy to ethylenediamine which can cause urticaria, erythema, and exfoliative dermatitis","Hypersensitivity to theophylline or derivatives, hypersensitivity to ethylenediamine","Azole antifungals, ciprofloxacin, clarithromycin, erythromycin : increased risk of theophylline toxicity. Caffeine : increased caffeine level. Halothane : increased risk of arrthmia","Should not be administered concurrently with ephedrine or with other xanthine medications. Use with caution paediatrics, elderly patients, smokers ,patients undergoing influenza immunisation, patient with reduced hepatic clearance.Patients with ischaemic heart disease, hypertension,hyperthyroidism, epilepsy, history of peptic ulcer disease, glaucoma, diabetis mellitus, severe hypoxemia, angina pectoris, acute mycardial injury or pre-existing arrythmias.",False
Amitriptyline HCl 25 mg Tablet,Laroxyl,Nervous System > Psychoanaleptics,N06AA09-110-T10-01-XXX,Yes,LP,B,i) Depression ii) Nocturnal enuresis where organic pathology has been excluded,None,i) Initial: 25mg 3 times a day in the evening Increase gradually in the late evening or at bedtime if necessary up to a maximum of 150mg per day Hospitalised patient: 100mg per day Increase gradually to 200-300mg per day ii) CHILD 6 YEARS AND UNDER: 10mg at bedtime CHILD OVER 6 YEARS Initial: 10mg at bedtime Increase gradually if necessary up to a maximum of 25mg at bedtime Not recommended for treatment of depression in children under 12 years of age. Dosing is individualised and according to product insert/ protocol.,"Dry mouth, constipation, nausea, vomiting, urinary retention, blurred vision, drowsiness, dizziness, tachycardia, increased appetite, confusion, seizures, myocardial infarction, stroke, agranulocytosis, thrombocytopenia, rash and hypersensitivity reactions, blood sugar changes, endocrine side effects, impotence, menstrual irregularities, bone marrow depression","Hypersensitivity to drug/class. Immediate recovery phase after myocardial infarction, heart block, mania. MAOI use within the last 14 days","Barbiturate, phenytoin, carbamazepine, cimetidine, amphetamines, antiarrhythmics, class Ia and III, anticholinergics, antihistamines, beta 2 agonists, benzodiazepines, systemic carbonic anhydrase inhibitors, central alpha 2 agonists, cholinergic agents, clozapine, intranasal decongestants, flumazenil, halothane, lithium, MAOIs, methylphenidate, metoclopramide, muscle relaxants, nitrates, opiates, antipsychotics, phenytoin, protease inhibitors, sedatives/hypnotics, SSRIs, indirect/mixed sympathomimetics, cimetidine, fluoxetine, clonidine","Cardiac disease, hyperthyroidism, impaired hepatic and renal function, urinary retention, history of seizures, glaucoma, suicide risk, pregnancy, lactation, elderly, phaeochromocytoma, history of mania, phychoses, angle-closure glaucoma, concurrent anticonvulsive therapy, anaesthesia",False
Amlodipine 10 mg Tablet,Hovasc 10 mg Tablet,Cardiovascular System > Calcium Channel Blockers,C08CA01-000-T10-02-XXX,Yes,APPL,B,Hypertension,None,5 mg once daily. Max: 10 mg once daily,"Headache, dizziness, gingival hyperplasia, tachycardia, peripheral oedema","Hypersensitivity to amlodipine, symptomatic hypotension, persistent dermatologic reactions, congestive heart failure","Cyclosporin, sildenafil, vardenafil, CYP3A4 inducers, CYP3A4 inducers(fluconazole, itraconazole, ketoconazole)","Angina (exacerbation) during initiation of treatment; with dosage increases; during beta-blocker withdrawal; taper slowly prior to calcium channel blocker therapy. Aortic stenosis (reduced myocardial oxygenation with drug-induced hypotension), congestive heart failure, pregnancy, hepatic impairment, lactation.",False
Fluphenazine Decanoate 25mg/ml Injection,Modecate,Nervous System > Psycholeptics,N05AB02135P3001XX,Yes,APPL,B,Long term management of psychotic disorders,None,"By deep IM : Test dose 12.5 mg (6.25 mg in ELDERLY), then after 4-7 days 12.5 mg-100 mg repeated at intervals of 14-35 days, adjusted according to response. CHILD not recommended","Weight gain, agranulocytosis, akathisia, extrapyramidal effects, hepatotoxicity, neuroleptic malignant syndrome, hyperprolactinaemia, sedation, orthostatic hypotension, anticholinergic effects, seizures, aplastic anaemia, cholestatic jaundice, drowsiness, dependence, antimuscarinic effects, insomnia, depression, convulsions, agitation, tachycardia, postural hypotension, allergic reactions, agranulocytosis, tardive dyskinesia, depressive reactions","Comatose or severely depressed patients, blood dyscrasias, liver damage, hypersensitivity to fluphenazine products, subcortical brain damage, phaeochromocytoma, severe hypotension, bone marrow depression","Tramadol, increased risk of seizures. Cisapride, levofloxacin, increased risk of cardiotoxicity (QT prolongation, torsades de pointes, cardiac arrest). Pethidine, increase in central nervous system and respiratory depression. Levodopa, loss of levodopa efficacy. Procyclidine, decreased phenothiazine serum concentrations, decreased phenothiazines effectiveness, enhance anticholinergic effects (ileus, hyperpyrexia, sedation, dry mouth). Sertraline, fluoxetine; increased risk of developing acute parkinsonism. Class Ia and III antiarrhytmics, beta2 agonists, carbamazepine, central alpha2 agonists, systemic corticosteroids, diuretics, lithium tricyclic antidepressants, alcohol, CNS depressants, clonidine","Patients exposed to extreme heat or phosphorous insecticides, history of convulsive disorder, mitral insufficiency or other cardiovascular diseases and phaeochromocytoma; history of neuroleptic malignant syndrome, history of cholestatic jaundice, hypersensitivity reaction to other phenothiazines, patients undergoing surgery may require lower doses of anaesthetics or depressants, history of dermatoses, myasthenia gravis, Parkinson's disease, seizure disorder, elderly, debilitated, liver or kidney impairment, CV or respiratory disorders, diabetes, pheochromocytoma, epilepsy, glaucoma. May impair temperature regulatory mechanism",False
Fusidic Acid 50 mg/ml Suspension,Fucidin,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01XC01000L8001XX,No,LP,A*,Treatment of infections caused by staphylococcal especially Methicillin Resistant Staphylococcus aureus (MRSA),None,ADULT : 15 ml 3 times daily. CHILD 1 - 5 years: 5 ml 3 times daily; 5 - 12 years: 10 ml 3 times daily. INFANT : 1 ml/kg body weight daily in 3 - 4 divided doses,"Gastrointestinal disturbances (dyspepsia, nausea, vomiting)",Hypersensitivity to fusidic acid and or its salts,"Oral anticoagulants (e.g. Warfarin), statins, cyclosporin, Protease inhibitors (e.g. Ritonavir)",Hepatic insufficiency. Pregnancy and lactation,True
Ibuprofen 200 mg Tablet,Brufen,Musculo-skeletal System > Antiinflammatory and Antirheumatic Products,M01AE01000T1001XX,Yes,APPL,B,Pain and inflammation in rheumatic disease,None,"Dosage: ADULT : 200 - 400 mg 3 times daily after food, maximum 3.2 g daily. CHILD : 30-50 mg/kg body weight daily in divided doses, maximum 2.4g daily. Lowest effective dose for the shortest possible duration.","Peptic ulceration, GI bleeding, headache, dizziness, nervousness, skin rash, pruritus, tinnitus, oedema depression, drowsiness, insomnia, blurred vision, hypersensitivity, impairment of renal function, dyspepsia, thrombocytopaenia, visual disturbances, nausea, vomiting, epigastric pain, heartburn, jaundice, hepatitis, depression","Hypersensitivity. Treatment of perioperative pain in the setting of CABG surgery. Patient whom asthma, urticaria or other allergic-type reaction are precipitated by aspirin or other NSAIDs. Active or history of peptic ulcer; history of GI bleeding. Neonates with congenital heart disease, suspected necrotising enterocolitis, and impaired renal function. 3rd trimester of pregnancy, and lactation.","Coumarin-type anticoagulants, aspirin or NSAIDs, digitalis glycosides, lithium, methotrexate, diuretics, cefoperazone, valproic acid, ciclosporin, gold compound, other nephrotic medications, probenecid. Moclobemide enhances effects of ibuprofen. Increased risk of gastrointestinal bleeding with warfarin. Lost of BP response with ACEI","Bleeding disorders, CV disease. Infants with increased total bilirubin. Premature neonates with existing or at risk of infection. Hepatic and renal impairment. Elderly (avoid chronic use).",False
Crotamiton 10 % Cream,Eurax,"Antiparasitic Products, Insecticides and Repellents > Ectoparasiticides, incl. Scabicides, Insecticides and Repellents",P03A000000G1001XX,Yes,LP,B,i) Pruritus ii) Scabies iii) Insect bite reactions,None,i) and iii) Massage into affected area until the medication is completely absorbed. Repeat as needed. Apply 2 or 3 times daily ii) Apply to the whole body from below the chin. 2nd application is applied 24 hr later. May need to use once daily for up to 5 days.,"Nausea, vomiting and abdominal pain. Topical: Pruritus, contact dermatitis, rash, irritation, warm sensation.","Hypersensitivity; acute exudative dermatitis. Application to the eye, mouth, other mucous membranes or on excoriated skin. Do not apply on nipples when breastfeeding.",Not known,For external use only. Pregnancy.,False
Metoclopramide HCl 10mg Tablet,,Alimentary Tract and Metabolism > Drugs for Functional Gastrointestinal Disorders,A03FA01-110-T10-01XXX,Yes,LP,B,"Use in adults for: i) Prevention of delayed chemotherapy induced nausea and vomiting (CINV) ii) Prevention of radiotherapy induced nausea and vomiting (RINV) iii) Symptomatic treatment of nausea and vomiting, including acute migraine induced nausea and vomiting Use in children aged 1-18 years for: i) Prevention of delayed chemotherapy induced nausea and vomiting (CINV) as a second line option",None,"Adult: The recommended single dose is 10mg, repeated up to three times daily. The maximum recommended daily dose is 30mg or 0.5mg/kg body weight. The maximum recommended treatment duration is 5 days. Prevention of delayed CINV (children aged 1-18 years): The recommended dose is 0.1-0.5mg/kg body weight, repeated up to three times daily by oral route. The maximum dose in 24 hours is 0.5mg/kg body weight. Dosing table CHILD age 1-3 years old (body weight 10-14kg): 1mg TDS, 3-5 years old (body weight 15-19kg): 2mg TDS, 5-9 years old (body weight 20-29kg): 2.5mg TDS, 9-18 years old (body weight 30-60kg): 5mg TDS, 15-18 years old (body weight > 60kg): 10mg TDS. Tablets are not suitable for use in children weighing less than 30kg. Other pharmaceutical forms may be more appropriate for administration to this population.","Extrapyramidal effects (especially in children and young adults), hyperprolactinaemia, tardive dyskinesia, drowsiness, restlessness, anxiety, drowsiness, fatigue, akathisia, insomnia, depression, neuroleptic malignant syndrome, diarrhoea, bronchospasm and cardiac conduction abnormalities, galactorrhea, gynaecomastia","Concomitant therapy with drugs which are likely to cause extrapyramidal reactions, epileptics, gastrointestinal haemorrhage, obstruction (mechanical), or perforation, hypersensitivity to metoclopramide, pheochromocytoma. Immediately after GI surgery where stimulation of GI tract motility might be dangerous.","Increased absorption of aspirin and paracetamol; opioid analgesics and antimuscarinics antagonise effect on gastro-intestinal activity, antipsychotics (increased risk of extrapyramidal effects). Decrease absorption of digoxin","Hepatic and renal impairment, elderly, young adults and children; may mask underlying disorders such as cerebral irritation; avoid for 3 - 4 days following gastro-intestinal surgery, may cause acute hypertensive response in phaeochromocytoma; pregnancy and breast feeding; porphyria. Use cautiously in patients with depression, Parkinson's disease or hypertension",False
Metronidazole 200mg Tablet,Flagyl,"Antiparasitic Products, Insecticides and Repellents > Antiprotozoals",P01AB01-000-T10-01-XXX,Yes,APPL,B,Anaerobic infection,None,"Anaerobic bacterial infections Adult: Initially, 800 mg followed by 400 mg 8 hly for about 7 days. Other recommended doses: 500 mg 8 hrly or 7.5 mg/kg 6 hrly (max: 4 g in 24 hr). Child: 7.5 mg/kg 8 hrly. Elderly: Use lower end of adult dose recommendations. Do not admin as a single dose. Prophylaxis of postoperative anaerobic bacterial infections Adult: 400 mg by mouth 8 hrly in the 24 hr prior to surgery followed postoperatively by IV or rectal admin until oral therapy is possible. Other sources recommend that oral doses be initiated only 2 hr prior to surgery and that number of doses for all admin routes be limited to a total of 4. Elderly: Dose reduction may be necessary. Tab: Should be taken with food.","GI disturbances e.g. nausea, unpleasant metallic taste, vomiting, diarrhoea or constipation. Furred tongue, glossitis, and stomatitis due to overgrowth of Candida. Rarely, antibiotic-associated colitis. Weakness, dizziness, ataxia, headache, drowsiness, insomnia, changes in mood or mental state. Numbness or tingling in the extremities, epileptiform seizures (high doses or prolonged treatment). Transient leucopenia and thrombocytopenia. Hypersensitivity reactions. Urethral discomfort and darkening of urine. Raised liver enzyme values, cholestatic hepatitis, jaundice. Thrombophlebitis (IV). Potentially Fatal: Anaphylaxis.",History of hypersensitivity to metronidazole or other nitroimidazole derivatives. Pregnancy (1st trimester) and lactation.,"Acute psychoses or confusion with disulfiram. Additive/synergistic effect with other antimicrobials. Effects reduced with phenobarbital or phenytoin. Potentially Fatal: Disulfiram-like reaction with alcohol. Increased risk of adverse effects of coumarin anticoagulants, phenytoin, lithium, ciclosporin, fluorouracil. Increased risk of neurological effects with cimetidine.",Patients with CNS diseases; History of seizure disorder. Evidence or a history of blood dyscrasias; perform total and differential leukocyte counts before and after treatment. Severe hepatic impairment; monitor plasma levels. Prolonged use may result in fungal or bacterial superinfection.,False
Ipratropium Bromide 0.5mg and Salbutamol 2.5mg per UDV,Combineb,Respiratory System > Drugs for Obstructive Airway Diseases,R03AK04-320-A30-01-XXX,No,Government Contract,B,Management of reversible bronchospasm associated with obstructive airway diseases,None,"Acute attacks : 1 unit dose vial. In severe cases not relieved by 1 unit dose vial, 2 unit dose vials may require. Maintenance : 1 unit dose vial 3 - 4 times daily","Headache, dizziness, nervousness, tachycardia, fine tremor, palpitations. Potentially serious hypokalaemia may result from beta2-agonist therapy, dryness of mouth, dysphonia, ocular complications, allergic type reactions",Hypersensitivity to atropine or its derivatives or to any other component. Hypertrophic obstructive cardiomyopathy or tachyarrythmia,"Xanthine derivatives, other anticholinergics, beta2-agonists, beta-blockers, tricyclic anti depressants, MAOIs, glucocorticoids - increased risk of tachycardia, agitation, hypomania, hypokalaemia","Patients predisposed to glaucoma, insufficiently controlled diabetes mellitus, recent myocardial infarction, severe organic heart or vascular disorders, hyperthyroidism, phaechromocytoma, risk of narrow-angle glaucoma, prostatic hypertrophy or bladder-neck obstruction, hypoxia, cystic fibrosis, pregnancy and lactation, uriticaria, angioedema, rash, broncospasm, oropharyngeal oedema",False
Iron Dextran 50mg Fe/ml Injection,,Blood and Blood Forming Organs > Antianemic Preparations,B03AC06000P3001XX,No,APPL,B,Severe iron deficiency anaemia,None,"An initial test dose of 0.5 ml should be given over the desired route. For severe iron deficiency anaemia, 1-2 ml daily given by deep IM. Dosage is individualized according to total iron deficit","Adverse effects may be delayed 24-48 hr after IV admin or 3-4 days after IM admin. Flushing, dizziness, fever, chills, nausea, headache, diaphoresis. Chest pain or tightness, shock, MI, hypertension, tachycardia, bradycardia and arrhythmias. Local reactions, pain and staining may occur at the site of inj after IM inj.",Anaemia that are not due to iron deficiency; haemochromatosis; haemolytic anemia. Severe liver damage or acute kidney infection. Lactation.,ACE inhibitors may increase potential anaphylatic reactions. Parenteral chromphenicol may delay response of anaemia to iron therapy. Bone scans performed with pertechnetate-labelled disphosphonates have shown dense areas of increased activity after intramuscular injection,"History of allergies or asthma. Pre-existing CV disease, hepatic impairment. May worsen rheumatoid arthritis. Not recommended in children <4 mth. Admin of oral iron salts should be ceased before giving parenteral iron. Rapid IV admin may cause vascular flushing and hypotension. Pregnancy.",False
Isosorbide Dinitrate 1mg/ml Injection,,Cardiovascular System > Cardiac Therapy,C01DA08-221-P30-01-XX,No,LP,A,Treatment for angina pectoris and left ventricular failure,None,2-12mg IV per hour after dilution. Dosing is according to product insert or protocol.,"GI disturbances, headache, hypotension, tachycardia","Hypersensitivity to organic nitrates, anaemia, symptomatic hypotension","Hypotensive effects may be enhanced by alcohol, beta-blocker, calcium channel blocker, antihypertensive, sildenafil and tricyclic antidepressant","Acute myocardial infarction,cerebral hemorrhage,congestive heart failure, glaucoma, hyperthyroidism, hypertrophic, cardiomyopathy, hypotension,methemoglobinemia, recent head trauma, severe anemia, volume depletion",True
Bromhexine HCl 8mg Tablet,Bisolvon,Respiratory System > Cough and Cold Preparations,R05CB02-110-T10-01-XXX,Yes,LP,C,Secretolytic therapy in acute and chronic bronchopulmonary diseases associated with abnormal mucous secretion and impaired mucous transport.,Medical Assistant in health settings without Medical Officer is allowed to prescribe this medicine for adult use only.,"Adult: 8-16 mg three times daily. Children: By body weight: 0.3 mg/kg/day 8 hourly for 7 days, then 0.15 mg/kg/day 8 hourly; or Based on age: 6-12 years – 4 mg three times daily; 2-6 years – 2 mg three times daily",Gastrointestinal ulceration,Hypersensitivity to bomhexine,May lead to higher antibiotic concentration in lung tissue. Oral anticoagulants,"Gastrointestinal ulceration, pregnancy and lactation",False
Budesonide 200mcg/dose Inhalation,Pulmicort,Respiratory System > Drugs for Obstructive Airway Diseases,R03BA02-000-A21-02-XXX,Yes,APPL,B,Maintenance treatment of asthma as prophylactic therapy especially if not fully controlled by bronchodilators,None,"ADULT: 200-1600 mcg daily in 2-4 divided doses. Maintenance with twice daily dosing. CHILD more than 7 years: 200-800 mcg, 2 - 7 years: 200-400 mcg. To be inhaled in 2-4 divided doses.","Mild irritation of the throat, coughing, and generally reversible hoarseness of the voice. Bad taste, dryness of the throat. Candidiasis of the mouth and throat, paradoxical bronchoconstriction, headache, nausea, tiredness, thirst, diarrhoea, skin reaction",Hypersensitivity to budesonide. Moderate to severe bronchiectasis,"Oral or parenteral corticosteroids: effects enhanced by the concomitant use. Amiodarone: increased risk of developing Cushing's syndrome. Ketoconazole, erytromycin, ritonavir : increased budesonide plasma concentrations","Acute exacerbations, accompanied by increased mucous viscosity and mucous plugging. Caution in viral infections such as varicella, in untreated fungal and bacterial infections of the respiratory system. Pregnancy and lactation",False
Chlorpheniramine Maleate 10mg/ml Injection,,Respiratory System > Antihistamines for Systemic Use,R06AB04-253-P30-01-XX,Yes,APPL,B,Allergic conditions,None,"10 - 20 mg IM or SC, repeated if required. Not to exceed 40 mg in 24 hours. 10 - 20 mg over 1 minute by slow IV","Drowsiness, dizziness, stinging or burning sensation at injection site, hypotension, CNS stimulation, tinnitus, blurred vision, irritability, lassitude","Hypersensitivity to chlorpheniramine, not to be used in children less than 2 years of age.","Alcohol pontentiate CNS depressants, actions prolonged by MOAIs, anticholinergic drugs","Porphyria, pregnancy, asthma, glaucoma, avoid operating vehicles or machinery. Parenteral injection have to be protected from light to prevent discolouration. To be used with caution and doctor's advice in children 2 to 6 years of age.",False
Chlorpromazine HCl 100mg Tablet,Largactil,Nervous System > Psycholeptics,N05AA01-110-T10-02-XXX,Yes,APPL,B,i) Psychotic conditions ii) Anti-emetic,None,ADULT: Initial: 25-50mg two- three times daily Maintenance: 25-100mg two- three times daily CHILD: Not recommended Dosing is according to product insert / protocol.,"Postural hypotension, akathisia, tardive dyskinesia, arrhythmias, constipation, haematologic effects, agranulocytosis, aplastic anaemia, thrombocytopenia, neuroleptic malignant syndrome, jaundice, agitation, insomnia, parkinsonism symptoms, drowsiness, convulsion and tachycardia, acute dystonia, leukopenia, angioedema, bronchospasm, urticaria, hyperprolactinemia, eye, cardiac, skin & subcutanoues tissue disorders, dry mouth, respiratory depression, neuroleptic malignant syndrome. Rarely agranulocytosis, priapism","Hypersensitivity to chlorpromazine products, phenothiazines, myelosuppression, coma, severe CNS depression, bone marrow depression","Alcohol, CNS depressant, anticholinergic, tramadol, phenobarbitone, beta-blockers (metoprolol, atenolol, propranolol), captopril,norepinephrine, procyclidine, warfarin, epinephrine, cimetidine, ethanol, adrenaline, antacids, amphetamine, amiodarone, bumetamide, chlorothiazides, clarithromycin, erythromycin, frusemide, phenytoin, antiarrhythmics, antidepressants & other antipsychotics, carbamazepine","Pregnancy and lactation, elderly, epilepsy or history of seizure, impaired kidney and liver function, Parkinson's disease, severe hypotension, hypothyroidism, cardiac failure, phaeochromocytoma, myasthenia gravis & prostate hypertrophy. Avoid in patient hypersensitive to phenothiazines, history of narrow-angle glaucoma or agranulocytosis. Monitor BP & complete blood count. Avoid exposure to sunlight",False
Paracetamol 250 mg Suppository,Panadol,Nervous System > Psychoanaleptics,N02BE01000S2001XX,Yes,LP,B,Symptomatic relief of fever and post operative pain whom cannot tolerate oral preparations.,None,"ADULT & CHILDREN more than 12 years old: 500mg - 1g every 4-6 hours CHILD 6 - 12 years : 250 - 500 mg; 1 - 5 years : 125 - 250 mg; 3 - 11 months : 80 mg inserted every 4 - 6 hours if necessary, maximum 4 doses in 24 hours. INFANTS under 3 months should not be given Paracetamol unless advised by doctor; a dose of 10 mg/kg (5 mg/kg if jaundiced) is suitable.","Allergic reactions, skin rash NPRA Safety Alert 1. 10 Oct 2024 Paracetamol and Fixed Drug Eruption (FDE): Upward Trend of Reports Involving Paediatric Patients",Nephropathy,"Anticoagulants, alcohol, liver enzyme inducers, aspirin, chloramphenicol and phenobarbitone",Renal and hepatic failure. Avoid chronic use,False
Paracetamol 500 mg Tablet,Panadol,Nervous System > Analgesics,N02BE01000T1001XX,Yes,APPL,C+,Mild to moderate pain and pyrexia,None,"ADULT: 500 - 1000 mg every 4 - 6 hours, maximum of 4 g daily","Allergic reactions, skin rash NPRA Safety Alert 1. 10 Oct 2024 Paracetamol and Fixed Drug Eruption (FDE): Upward Trend of Reports Involving Paediatric Patients",Nephropathy,"Anticoagulants, alcohol, liver enzyme inducers, aspirin, chloramphenicol and phenobarbitone",Renal and hepatic failure. Avoid chronic use,False
Fluvoxamine 100mg Tablet,Luvox,Nervous System > Psychoanaleptics,N06AB08-253-T10-02-XXX,Yes,Government Contract,B,i) Depression ii) Obsessive Compulsive Disorder (OCD),None,"i) Initial: 50 – 100 mg per day in the evening Increase gradually if necessary up to a maximum of 300mg per day Dose over 150mg per day given in 2 – 3 divided doses Recommended dose to prevent recurrence: 100mg per day ii) ADULT Initial: 50mg per day for 3 – 4 days Increase gradually if necessary up to a maximum of 300mg per day Dose over 150mg per day given in 2 – 3 divided doses CHILD (8 years on and adolescents) Initial: 25mg per day, preferably at bedtime Increase in 25mg increments every 4 – 7 days if necessary up to a maximum of 200mg per day Dose over 50mg per day given in 2 divided doses Dosing is individualised and according to product insert/ protocol. Should not be used in patients under 18 years old except for the treatment of OCD. If, based on clinical need, a decision to treat is nevertheless taken; the patient should be carefully monitored for appearance of suicidal symptoms.","Blurred vision, dry mouth, tremor, gastrointestinal disturbances, somnolence, constipation, headache, insomnia, vomiting, dizziness, agitation, extrapyramidal effects, bradycardia, seizures, hepatotoxicity, withdrawal syndrome, Steven Johnson Syndrome, anphylactic reaction, abnormal ejaculation, hepatitis, asthenia, abnormal bleeding, hyponatremia, seizure, serotonin syndrome, worsening depression, hypomania, mania (rare), suicidal thoughts","Use of MAOI within 14 days, coadministration of terfenadine, astemizole or cisapride, may cause increased plasma concentrations of these drugs and an increased incidence of side effects, hypersensitivity to fluvoxamine","Warfarin, phenytoin, theophyline, propanolol, lithium, benzodiazepines, caffeine, ergotamine, MAOIs, sildenafil, statins, heparin, NSAIDs, aspirin, carbamazepin, clozapin, haloperidol, proton pump inhibitor, tricyclic antidepressants, grapefruit, St. John wort, dilatiazem, metoclopramide, serotonergic drugs, linezolid, tramadol, celecoxib","Concomitant use with MAOIs, hepatic insufficiency, children, epilepticus, geriatric, pregnancy, lactation, cardiovascular disease, avoid abrupt withdrawal, elderly, abnormal bleeding, hyponatremia, may activate mania or hypomania, history of seizure, suicidal ideation, worsening depression.",False
